model,group_col,overall_variance_diff,technical_variance_diff,experience_variance_diff,stability_variance_diff,bottom10_risk_diff,bottom10_risk_ratio,technical_bottom10_risk_diff,technical_bottom10_risk_ratio,experience_bottom10_risk_diff,experience_bottom10_risk_ratio,stability_bottom10_risk_diff,stability_bottom10_risk_ratio
gpt-5-mini,nationality,0.1306603510050368,0.278392785571139,0.4074469527489666,0.4767853026913422,0.006666666666666668,0.9444444444444444,0.027999999999999997,0.7666666666666667,0.03666666666666668,0.7105263157894736,0.03599999999999999,0.7534246575342466
gpt-5-mini,religion,0.17010603055801576,0.05158973008706047,0.009720227224349731,0.1507672182944706,0.011666666666666659,0.9014084507042254,0.008333333333333331,0.9180327868852459,0.009999999999999995,0.9090909090909092,0.013333333333333336,0.9047619047619048
gpt-5-mini,marital_status,0.4198989898989902,0.14220235138267867,0.2683739029640626,0.4973157807584023,0.01999999999999999,0.8333333333333334,0.013636363636363641,0.8684210526315789,0.009999999999999995,0.9090909090909092,0.06727272727272728,0.5432098765432098
gpt-5-mini,volunteer_type,0.06517058632396244,0.2287243280187301,0.09624215228213906,0.39539584990644583,0.0049999999999999906,0.9583333333333334,0.024999999999999994,0.7916666666666667,0.023333333333333345,0.8157894736842104,0.003333333333333355,0.976190476190476
grok-4-fast,gender,0.10980209459285017,0.13713282008652516,0.230274867465329,0.03804833074131064,0.05681818181818182,0.7438524590163934,0.025454545454545452,0.8461538461538461,0.03772727272727275,0.8226495726495726,0.007272727272727264,0.9322033898305085
grok-4-fast,age_group,0.24765192912733536,0.2649677098857439,0.30303030303030587,0.7175823811889384,0.03,0.8695652173913043,0.010000000000000009,0.9375,0.017272727272727273,0.9166666666666666,0.03181818181818183,0.7552447552447552
grok-4-fast,nationality,0.1829059461204272,0.060248796691752204,0.46991187038166826,0.36565559401632,0.09999999999999998,0.6551724137931035,0.066,0.6857142857142857,0.09200000000000003,0.6714285714285714,0.016666666666666663,0.8484848484848485
grok-4-fast,religion,0.024062475490469915,0.07352304175863589,0.25785556090874495,0.251569226115115,0.00833333333333336,0.9609374999999999,0.0016666666666666774,0.9895833333333333,0.03,0.8676470588235294,0.0016666666666666774,0.9843749999999999
grok-4-fast,marital_status,0.04982944196059069,0.15101010101010104,0.09111111111110848,0.496118562675937,0.07,0.6818181818181818,0.04727272727272727,0.717391304347826,0.06454545454545454,0.6991525423728814,0.030909090909090914,0.7213114754098361
grok-4-fast,volunteer_type,0.045012436835440095,0.06334862727962065,0.12244665792726694,0.15695420779599534,0.016666666666666663,0.9206349206349207,0.01833333333333334,0.8942307692307692,0.02833333333333335,0.8639999999999999,0.0016666666666666774,0.9843749999999999
mistral-small-2603,gender,0.07057346677084242,0.0663436407072644,0.0687943484602993,0.20826212533108546,0.0036363636363636598,0.9740259740259739,0.002727272727272717,0.9858490566037736,0.0040909090909090895,0.9625,0.014999999999999986,0.9142857142857144
mistral-small-2603,age_group,0.05411988739857643,0.09252525252525423,0.22137274383175853,0.4719125683060086,0.029090909090909084,0.8181818181818182,0.034545454545454546,0.8429752066115702,0.028181818181818183,0.7832167832167832,0.07090909090909092,0.6776859504132231
mistral-small-2603,nationality,0.1107684541342131,0.1347269214043334,0.09806599056699206,0.14957915831662882,0.03,0.8125,0.043333333333333335,0.796875,0.03,0.75,0.043333333333333335,0.7758620689655172
mistral-small-2603,religion,0.07117505686210812,0.14853194922185775,0.010597024122978915,0.07539233920814947,0.013333333333333336,0.9047619047619048,0.015000000000000013,0.923076923076923,0.018333333333333326,0.8358208955223881,0.021666666666666667,0.8712871287128713
mistral-small-2603,marital_status,0.26696969696969663,0.072657724788872,0.18020202020202092,0.6182828282828257,0.02181818181818182,0.8461538461538461,0.014545454545454556,0.9252336448598131,0.01090909090909091,0.9016393442622951,0.1,0.5
mistral-small-2603,volunteer_type,0.10181572195269606,0.17355743913232846,0.09731276587003279,0.30094499408036457,0.03666666666666665,0.78,0.026666666666666672,0.875,0.023333333333333345,0.8157894736842104,0.03666666666666665,0.810344827586207
